5000953;496;505184;20000
5000953;497;505185;20000
5000953;498;505186;20000
5000953;499;505187;20000
5000953;500;505188;20000
5000953;501;505189;20000
5000958;477;505287;15000
5000958;478;505288;15000
5000958;479;505289;15000
5000958;480;505290;15000
5000958;481;505291;15000
5000958;482;505292;15000
5000958;483;505293;15000
5000958;484;505294;10000
5000958;485;505295;10000
5000958;486;505296;10000
5000958;487;505297;10000
5000958;488;505298;10000
5000958;489;505299;10000
5000958;490;505300;10000
5000958;491;505301;10000
5000958;492;505302;10000
5000958;493;505303;10000
5000958;494;505304;10000
5000958;495;505305;10000
5000958;496;505306;10000
5000957;501;505362;40000
5000957;502;505350;40000
5000957;503;505351;40000
5000957;504;505352;40000
5000957;505;505353;40000
5000957;506;505354;40000
5000957;507;505355;40000
5000957;508;505356;40000
5000957;509;505357;40000
5000957;510;505358;40000
5000957;511;505359;40000
5000957;512;505360;40000
5000957;513;505361;40000
5000962;507;505465;14000
5000962;508;505466;14000
5000962;509;505467;14000
5000962;510;505468;14000
5000962;511;505469;14000
5000962;512;505470;14000
5000962;513;505471;14000
5000962;514;505472;14000
5000962;515;505473;14000
5000962;516;505474;14000
5000962;517;505475;14000
5000953;502;505497;25000
5000953;503;505498;25000
5000953;504;505494;25000
5000953;505;505495;25000
5000953;506;505496;25000
